,time,assetCode,assetName,volume,open,close,result,binary_result,provider,sentimentClass,sentimentNegative,sentimentNeutral,sentimentPositive,urgency,firstMentionSentence,bodySize,wordCount,sentenceCount
33,2007-02-05,ADSK.O,Autodesk Inc,1963602.0,44.4,44.72,0.3200000000000003,1.0,PRN,1.0,0.0412062,0.12780899999999998,0.8309840000000001,3.0,1.0,5140.0,846.0,34.0
36,2007-02-05,AEE.N,Ameren Corp,425100.0,53.74,53.93,0.18999999999999773,1.0,RTRS,1.0,0.0291306,0.116789,0.854081,1.0,0.0,0.0,21.0,1.0
37,2007-02-05,AEE.N,Ameren Corp,425100.0,53.74,53.93,0.18999999999999773,1.0,RTRS,0.0,0.13977,0.618088,0.242141,1.0,1.0,0.0,14.0,1.0
38,2007-02-05,AEE.N,Ameren Corp,425100.0,53.74,53.93,0.18999999999999773,1.0,RTRS,1.0,0.0510367,0.158573,0.7903899999999999,1.0,1.0,0.0,11.0,1.0
39,2007-02-05,AEE.N,Ameren Corp,425100.0,53.74,53.93,0.18999999999999773,1.0,RTRS,1.0,0.11035899999999998,0.383423,0.5062180000000001,3.0,1.0,694.0,134.0,5.0
40,2007-02-05,AEE.N,Ameren Corp,425100.0,53.74,53.93,0.18999999999999773,1.0,RTRS,0.0,0.0496764,0.522779,0.427545,3.0,1.0,1255.0,243.0,12.0
45,2007-02-05,AEP.N,American Electric Power Company Inc,1539500.0,44.1,44.66,0.5599999999999952,1.0,PRN,-1.0,0.602887,0.133516,0.263596,3.0,2.0,8152.0,1342.0,52.0
46,2007-02-05,AEP.N,American Electric Power Company Inc,1539500.0,44.1,44.66,0.5599999999999952,1.0,RTRS,-1.0,0.671772,0.11803499999999999,0.210193,3.0,1.0,1480.0,268.0,12.0
48,2007-02-05,AES.N,AES Corp,3189500.0,21.5,21.11,-0.39000000000000057,0.0,RTRS,1.0,0.0986641,0.378265,0.523071,3.0,1.0,1316.0,258.0,10.0
58,2007-02-05,AGU.N,Agrium Inc,1299600.0,35.62,34.74,-0.8799999999999955,0.0,RTRS,1.0,0.00753954,0.444193,0.548268,3.0,8.0,3840.0,352.0,23.0
70,2007-02-05,AJG.N,Arthur J Gallagher & Co,521700.0,28.59,28.86,0.2699999999999996,1.0,PRN,0.0,0.215669,0.593819,0.19051300000000002,3.0,1.0,2369.0,408.0,12.0
71,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,RTRS,0.0,0.0297445,0.9265129999999999,0.043742199999999995,1.0,1.0,0.0,5.0,1.0
72,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,RTRS,0.0,0.028808799999999996,0.926791,0.044400199999999994,1.0,1.0,0.0,21.0,1.0
73,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,RTRS,1.0,0.0274056,0.166924,0.805671,1.0,1.0,0.0,22.0,1.0
74,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,BSW,1.0,0.0961448,0.15456199999999998,0.749293,3.0,1.0,8828.0,1313.0,40.0
75,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,RTRS,1.0,0.00727439,0.435384,0.557342,1.0,1.0,0.0,11.0,1.0
76,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,RTRS,1.0,0.00828432,0.45272700000000005,0.538989,3.0,1.0,676.0,134.0,5.0
77,2007-02-05,AKAM.O,Akamai Technologies Inc,5285688.0,55.83,58.18,2.3500000000000014,1.0,BSW,1.0,0.1093,0.334733,0.555967,3.0,1.0,4517.0,701.0,23.0
79,2007-02-05,AKS.N,AK Steel Holding Corp,2500600.0,21.73,21.35,-0.379999999999999,0.0,PRN,1.0,0.120729,0.406518,0.472753,3.0,1.0,1050.0,202.0,7.0
80,2007-02-05,AKS.N,AK Steel Holding Corp,2500600.0,21.73,21.35,-0.379999999999999,0.0,RTRS,0.0,0.154911,0.615404,0.22968400000000003,1.0,1.0,0.0,29.0,1.0
81,2007-02-05,AKS.N,AK Steel Holding Corp,2500600.0,21.73,21.35,-0.379999999999999,0.0,RTRS,0.0,0.013273599999999998,0.795975,0.190751,3.0,1.0,117.0,33.0,3.0
85,2007-02-05,ALK.N,Alaska Air Group Inc,440800.0,42.45,41.92,-0.5300000000000011,0.0,PRN,0.0,0.15141,0.637999,0.21059099999999997,3.0,1.0,1957.0,353.0,15.0
86,2007-02-05,ALK.N,Alaska Air Group Inc,440800.0,42.45,41.92,-0.5300000000000011,0.0,RTRS,0.0,0.13977,0.618088,0.242141,1.0,1.0,0.0,7.0,1.0
87,2007-02-05,ALK.N,Alaska Air Group Inc,440800.0,42.45,41.92,-0.5300000000000011,0.0,RTRS,-1.0,0.623001,0.251416,0.125583,1.0,1.0,0.0,16.0,1.0
88,2007-02-05,ALK.N,Alaska Air Group Inc,440800.0,42.45,41.92,-0.5300000000000011,0.0,RTRS,0.0,0.29991100000000004,0.380792,0.319297,3.0,1.0,124.0,32.0,3.0
94,2007-02-05,ALV.N,Autoliv Inc,570000.0,60.54,60.43,-0.10999999999999943,0.0,RTRS,0.0,0.011088200000000001,0.785946,0.202966,3.0,0.0,259.0,57.0,4.0
96,2007-02-05,AMAT.O,Applied Materials Inc,26338124.0,18.12,18.13,0.00999999999999801,1.0,RTRS,0.0,0.040092800000000005,0.698986,0.260921,3.0,7.0,1424.0,260.0,10.0
97,2007-02-05,AMAT.O,Applied Materials Inc,26338124.0,18.12,18.13,0.00999999999999801,1.0,RTRS,-1.0,0.758392,0.154332,0.08727639999999999,3.0,8.0,2065.0,385.0,18.0
98,2007-02-05,AMAT.O,Applied Materials Inc,26338124.0,18.12,18.13,0.00999999999999801,1.0,RTRS,0.0,0.039587199999999996,0.71431,0.24610300000000002,3.0,7.0,1529.0,283.0,11.0
99,2007-02-05,AMAT.O,Applied Materials Inc,26338124.0,18.12,18.13,0.00999999999999801,1.0,RTRS,1.0,0.11499300000000001,0.15979300000000002,0.725214,3.0,10.0,2433.0,447.0,16.0
100,2007-02-05,AMAT.O,Applied Materials Inc,26338124.0,18.12,18.13,0.00999999999999801,1.0,RTRS,0.0,0.0824997,0.707935,0.209565,3.0,7.0,1242.0,234.0,9.0
101,2007-02-05,AMAT.O,Applied Materials Inc,26338124.0,18.12,18.13,0.00999999999999801,1.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,0.0,0.0,11.0,1.0
102,2007-02-05,AMD.N,Advanced Micro Devices Inc,18453200.0,15.74,15.6,-0.14000000000000057,0.0,RTRS,0.0,0.23032800000000003,0.392939,0.376733,3.0,1.0,2813.0,531.0,23.0
103,2007-02-05,AMD.N,Advanced Micro Devices Inc,18453200.0,15.74,15.6,-0.14000000000000057,0.0,BSW,1.0,0.0394064,0.126089,0.8345049999999999,3.0,1.0,4040.0,645.0,23.0
104,2007-02-05,AMD.N,Advanced Micro Devices Inc,18453200.0,15.74,15.6,-0.14000000000000057,0.0,CNW,1.0,0.04056780000000001,0.12701500000000002,0.832417,3.0,1.0,4068.0,660.0,26.0
105,2007-02-05,AMD.N,Advanced Micro Devices Inc,18453200.0,15.74,15.6,-0.14000000000000057,0.0,RTRS,0.0,0.0111268,0.519538,0.46933500000000006,3.0,9.0,3152.0,570.0,21.0
109,2007-02-05,AMGN.O,Amgen Inc,9181336.0,69.44,69.84,0.4000000000000057,1.0,RTRS,-1.0,0.503451,0.30951300000000004,0.18703599999999998,3.0,0.0,1202.0,235.0,8.0
118,2007-02-05,AN.N,AutoNation Inc,649500.0,22.83,22.65,-0.17999999999999972,0.0,PRN,1.0,0.12266500000000001,0.42644099999999996,0.45089300000000004,3.0,1.0,4227.0,751.0,26.0
120,2007-02-05,ANDW.O,Commscope Technologies LLC,2629559.0,10.355,10.23,-0.125,0.0,BSW,-1.0,0.6200680000000001,0.224762,0.155169,3.0,1.0,4212.0,654.0,21.0
123,2007-02-05,AOC.N,Aon Corp,1370400.0,36.31,36.48,0.1699999999999946,1.0,RTRS,-1.0,0.677951,0.116532,0.205517,3.0,3.0,2005.0,368.0,17.0
125,2007-02-05,APA.N,Apache Corp,3207300.0,70.96,69.62,-1.3399999999999892,0.0,RTRS,0.0,0.36772699999999997,0.587503,0.044769800000000005,3.0,11.0,2064.0,386.0,12.0
126,2007-02-05,APC.N,Anadarko Petroleum Corp,6626800.0,44.06,42.95,-1.1099999999999994,0.0,RTRS,-1.0,0.819144,0.125228,0.0556283,1.0,1.0,0.0,9.0,1.0
127,2007-02-05,APC.N,Anadarko Petroleum Corp,6626800.0,44.06,42.95,-1.1099999999999994,0.0,RTRS,-1.0,0.818525,0.125593,0.055882600000000004,1.0,1.0,0.0,19.0,1.0
128,2007-02-05,APC.N,Anadarko Petroleum Corp,6626800.0,44.06,42.95,-1.1099999999999994,0.0,RTRS,-1.0,0.689203,0.113775,0.197022,1.0,1.0,0.0,18.0,1.0
129,2007-02-05,APC.N,Anadarko Petroleum Corp,6626800.0,44.06,42.95,-1.1099999999999994,0.0,RTRS,-1.0,0.640857,0.241907,0.11723599999999999,1.0,1.0,0.0,18.0,1.0
130,2007-02-05,APD.N,Air Products and Chemicals Inc,1100900.0,74.67,74.98,0.3100000000000023,1.0,PRN,1.0,0.043792000000000005,0.129469,0.8267389999999999,3.0,1.0,3602.0,597.0,24.0
141,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,BSW,-1.0,0.46465200000000006,0.44618599999999997,0.089162,3.0,1.0,24179.0,3076.0,81.0
142,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,7.0,1.0
143,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,9.0,1.0
144,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,14.0,1.0
145,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,10.0,1.0
146,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,10.0,1.0
147,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,9.0,1.0
148,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,-1.0,0.818204,0.125781,0.056014499999999995,1.0,1.0,0.0,20.0,1.0
149,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.016155700000000002,0.806295,0.177549,1.0,1.0,0.0,11.0,1.0
150,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,0.0,0.016155700000000002,0.806295,0.177549,1.0,1.0,0.0,11.0,1.0
151,2007-02-05,ARXX.O,Aeroflex Inc,676706.0,11.84,11.75,-0.08999999999999986,0.0,RTRS,1.0,0.138856,0.390955,0.470189,3.0,1.0,1362.0,248.0,6.0
162,2007-02-05,ATPG.O,ATP Oil & Gas Corp,242104.0,41.02,41.2,0.17999999999999972,1.0,BSW,1.0,0.10347999999999999,0.380641,0.515879,3.0,1.0,1245.0,222.0,13.0
163,2007-02-05,ATRS.O,Antares Pharma Inc,1627219.0,32.43,32.41,-0.020000000000003126,0.0,BSW,1.0,0.331069,0.274581,0.394349,3.0,1.0,23384.0,3331.0,113.0
164,2007-02-05,ATRS.O,Antares Pharma Inc,1627219.0,32.43,32.41,-0.020000000000003126,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,9.0,1.0
165,2007-02-05,ATRS.O,Antares Pharma Inc,1627219.0,32.43,32.41,-0.020000000000003126,0.0,RTRS,0.0,0.0164253,0.806599,0.176976,1.0,1.0,0.0,10.0,1.0
166,2007-02-05,ATRS.O,Antares Pharma Inc,1627219.0,32.43,32.41,-0.020000000000003126,0.0,RTRS,0.0,0.176059,0.609958,0.213982,1.0,1.0,0.0,11.0,1.0
167,2007-02-05,ATRS.O,Antares Pharma Inc,1627219.0,32.43,32.41,-0.020000000000003126,0.0,RTRS,0.0,0.016155700000000002,0.806295,0.177549,1.0,1.0,0.0,11.0,1.0
168,2007-02-05,ATRS.O,Antares Pharma Inc,1627219.0,32.43,32.41,-0.020000000000003126,0.0,RTRS,1.0,0.0428577,0.128773,0.828369,3.0,1.0,2303.0,444.0,16.0
171,2007-02-05,AU.N,AngloGold Ashanti Ltd,992000.0,47.14,46.83,-0.3100000000000023,0.0,RTRS,-1.0,0.819144,0.125228,0.0556283,1.0,1.0,0.0,10.0,1.0
172,2007-02-05,AU.N,AngloGold Ashanti Ltd,992000.0,47.14,46.83,-0.3100000000000023,0.0,RTRS,-1.0,0.818561,0.12557100000000002,0.055867499999999994,3.0,1.0,660.0,126.0,5.0
173,2007-02-05,AU.N,AngloGold Ashanti Ltd,992000.0,47.14,46.83,-0.3100000000000023,0.0,RTRS,-1.0,0.8082159999999999,0.13162000000000001,0.0601635,3.0,1.0,1186.0,217.0,11.0
179,2007-02-05,AVCT.O,Avocent Corp,594300.0,35.5,35.41,-0.09000000000000341,0.0,BSW,1.0,0.372178,0.175972,0.451849,3.0,1.0,3053.0,471.0,18.0
181,2007-02-05,AVT.N,Avnet Inc,2734200.0,32.15,32.42,0.2700000000000031,1.0,BSW,1.0,0.0358231,0.12306600000000001,0.84111,3.0,1.0,4339.0,691.0,27.0
185,2007-02-05,AXE.N,Anixter International Inc,335800.0,56.5,56.59,0.09000000000000341,1.0,PRN,0.0,0.132351,0.492142,0.37550700000000004,3.0,1.0,3039.0,502.0,15.0
186,2007-02-05,AXL.N,American Axle & Manufacturing Holdings Inc,3288300.0,23.9,23.57,-0.3299999999999983,0.0,RTRS,0.0,0.0112247,0.786875,0.2019,3.0,0.0,260.0,61.0,4.0
187,2007-02-05,AXL.N,American Axle & Manufacturing Holdings Inc,3288300.0,23.9,23.57,-0.3299999999999983,0.0,RTRS,-1.0,0.525101,0.268717,0.206182,3.0,9.0,6194.0,563.0,35.0
190,2007-02-05,AXS.N,AXIS Capital Holdings Ltd,521600.0,33.8,33.39,-0.4099999999999966,0.0,RTRS,0.0,0.188445,0.606004,0.20555199999999998,1.0,1.0,0.0,23.0,1.0
191,2007-02-05,AXS.N,AXIS Capital Holdings Ltd,521600.0,33.8,33.39,-0.4099999999999966,0.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,9.0,1.0
192,2007-02-05,AXS.N,AXIS Capital Holdings Ltd,521600.0,33.8,33.39,-0.4099999999999966,0.0,BSW,-1.0,0.45057600000000003,0.29584,0.253585,3.0,1.0,37849.0,4926.0,257.0
193,2007-02-05,AXS.N,AXIS Capital Holdings Ltd,521600.0,33.8,33.39,-0.4099999999999966,0.0,RTRS,0.0,0.015940299999999998,0.8057350000000001,0.178325,1.0,1.0,0.0,12.0,1.0
194,2007-02-05,AXS.N,AXIS Capital Holdings Ltd,521600.0,33.8,33.39,-0.4099999999999966,0.0,RTRS,1.0,0.114226,0.3846,0.501174,3.0,1.0,586.0,123.0,4.0
195,2007-02-05,AXS.N,AXIS Capital Holdings Ltd,521600.0,33.8,33.39,-0.4099999999999966,0.0,RTRS,0.0,0.21502600000000002,0.394279,0.390694,3.0,1.0,2378.0,485.0,18.0
198,2007-02-05,AZN.N,AstraZeneca PLC,1582300.0,57.56,57.85,0.28999999999999915,1.0,RTRS,1.0,0.156073,0.189396,0.6545310000000001,3.0,1.0,1672.0,279.0,12.0
201,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,-1.0,0.818561,0.12557100000000002,0.0558678,1.0,0.0,0.0,18.0,1.0
202,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,0.0,0.316289,0.544493,0.139217,3.0,0.0,504.0,113.0,5.0
203,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,1.0,0.00704325,0.438746,0.5542100000000001,1.0,1.0,0.0,15.0,1.0
204,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,0.0,0.155444,0.615293,0.229262,1.0,0.0,0.0,13.0,1.0
205,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,1.0,0.00659429,0.43309,0.560316,1.0,0.0,0.0,31.0,1.0
206,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,0.0,0.15162,0.616086,0.232294,1.0,0.0,0.0,13.0,1.0
207,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,0.0,0.0102691,0.580729,0.409002,3.0,1.0,805.0,149.0,6.0
208,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,0.0,0.010417399999999999,0.585775,0.403808,3.0,1.0,1519.0,289.0,14.0
209,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,-1.0,0.549482,0.25425,0.196268,3.0,1.0,2241.0,436.0,20.0
210,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,PRN,1.0,0.0819233,0.311244,0.606833,3.0,1.0,4568.0,771.0,29.0
211,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,1.0,0.124521,0.387639,0.487839,3.0,7.0,2273.0,436.0,16.0
212,2007-02-05,BA.N,Boeing Co,3028600.0,90.45,90.72,0.269999999999996,1.0,RTRS,1.0,0.119574,0.38621300000000003,0.494213,3.0,22.0,3485.0,638.0,26.0
213,2007-02-05,BAC.N,Bank of America Corp,11112400.0,52.74,52.88,0.14000000000000057,1.0,PRN,0.0,0.164739,0.613269,0.221992,3.0,1.0,8444.0,909.0,41.0
214,2007-02-05,BAC.N,Bank of America Corp,11112400.0,52.74,52.88,0.14000000000000057,1.0,PRN,0.0,0.164739,0.613269,0.221992,3.0,1.0,8283.0,886.0,41.0
215,2007-02-05,BAC.N,Bank of America Corp,11112400.0,52.74,52.88,0.14000000000000057,1.0,RTRS,-1.0,0.5899939999999999,0.136028,0.27397699999999997,3.0,0.0,4219.0,773.0,29.0
216,2007-02-05,BAC.N,Bank of America Corp,11112400.0,52.74,52.88,0.14000000000000057,1.0,RTRS,-1.0,0.637067,0.126074,0.23685900000000001,3.0,0.0,4238.0,777.0,30.0
222,2007-02-05,BBV.N,Banco Bilbao Vizcaya Argentaria S.A.,315256.0,25.24,25.32,0.08000000000000185,1.0,RTRS,1.0,0.08842710000000001,0.152005,0.759568,3.0,1.0,2441.0,510.0,19.0
223,2007-02-05,BBV.N,Banco Bilbao Vizcaya Argentaria S.A.,315256.0,25.24,25.32,0.08000000000000185,1.0,RTRS,0.0,0.0141482,0.810077,0.175775,3.0,0.0,0.0,1.0,1.0
224,2007-02-05,BBV.N,Banco Bilbao Vizcaya Argentaria S.A.,315256.0,25.24,25.32,0.08000000000000185,1.0,RTRS,1.0,0.0897534,0.15246400000000002,0.757782,3.0,1.0,2492.0,525.0,19.0
225,2007-02-05,BBV.N,Banco Bilbao Vizcaya Argentaria S.A.,315256.0,25.24,25.32,0.08000000000000185,1.0,RNS,1.0,0.00850072,0.438741,0.552758,3.0,4.0,45736.0,4502.0,46.0
226,2007-02-05,BBV.N,Banco Bilbao Vizcaya Argentaria S.A.,315256.0,25.24,25.32,0.08000000000000185,1.0,RNS,1.0,0.00855523,0.445251,0.546194,3.0,4.0,6596.0,797.0,28.0
232,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0153,0.794204,0.190496,3.0,1.0,6617.0,768.0,16.0
233,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0117843,0.7896310000000001,0.19858499999999998,3.0,1.0,5401.0,678.0,17.0
234,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0116522,0.7888970000000001,0.199451,3.0,1.0,4819.0,627.0,17.0
235,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0251966,0.51727,0.457534,3.0,1.0,4263.0,564.0,15.0
236,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0146551,0.798671,0.186674,3.0,1.0,7872.0,879.0,18.0
237,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0116663,0.7886770000000001,0.199657,3.0,1.0,5159.0,658.0,15.0
238,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.011612799999999998,0.78809,0.200297,3.0,1.0,5370.0,678.0,17.0
239,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.011662299999999999,0.788979,0.19935799999999998,3.0,1.0,4847.0,616.0,15.0
240,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0116421,0.7888109999999999,0.199547,3.0,1.0,4462.0,594.0,17.0
241,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0116522,0.7888970000000001,0.199451,3.0,1.0,4672.0,613.0,17.0
242,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.011662299999999999,0.788979,0.19935799999999998,3.0,1.0,4825.0,628.0,17.0
243,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0146822,0.7980109999999999,0.187307,3.0,1.0,5176.0,666.0,15.0
244,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,ROM,0.0,0.0123002,0.780985,0.206715,3.0,1.0,4619.0,612.0,16.0
245,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,RTRS,1.0,0.08624939999999999,0.163741,0.750009,1.0,0.0,0.0,18.0,1.0
246,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,RTRS,1.0,0.0839281,0.31658200000000003,0.59949,1.0,0.0,0.0,22.0,1.0
247,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,RNS,1.0,0.032247399999999996,0.145932,0.8218209999999999,3.0,29.0,4254.0,603.0,33.0
248,2007-02-05,BCS.N,Barclays PLC,432400.0,59.43,59.51,0.0799999999999983,1.0,RNS,0.0,0.177818,0.609426,0.212756,3.0,0.0,2603.0,423.0,22.0
254,2007-02-05,BEAV.O,B/E Aerospace Inc,2494363.0,30.6,31.02,0.41999999999999815,1.0,BSW,1.0,0.190182,0.24896100000000002,0.5608569999999999,3.0,1.0,39668.0,5540.0,217.0
255,2007-02-05,BEAV.O,B/E Aerospace Inc,2494363.0,30.6,31.02,0.41999999999999815,1.0,RTRS,0.0,0.0141482,0.810077,0.175775,1.0,1.0,0.0,10.0,1.0
